benchmark_uri,suite,protocol,batch,pass_flag,sample_idx,elapsed_sec,returncode,out_sha256,input_file
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,1,0.020570549,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-deletion,2,0.021932244,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,0,0.018229025,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,1,0.019642654,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-unswitch,2,0.019910234,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,0,0.017652268,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,1,0.019962086,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-loop-distribute,2,0.018665004,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,0,0.018886064,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,1,0.018357991,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,A,2,-indvars,2,0.018412458,0,c5872720e8a99a35d3e03d7fe461cc92587c5de08d3f264cc5528b25c668c6b2,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/1.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,0,1.002154274,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
benchmark://cbench-v1/gsm,cbench-v1,B,1,O0,1,1.048552120,0,09c2c7c190d3209af2861c66f37792d186770381cecd6c1256006d254e51e943,/home/nithi/.local/share/compiler_gym/llvm-v0/cbench-v1-runtime-data/runtime_data/telecom_gsm_data/2.au
